 #.record         time (fs)       #.carrier/u.c.    mean velocity parallel to ext. field
       69         6900.0000   1.8642024319656160E-06  -4.3540755111514226E+07
       70         7000.0000   1.8642024319656162E-06  -4.5206416275815167E+07
       71         7100.0000   1.8642024319656164E-06  -4.6856945114511982E+07
       72         7200.0000   1.8642024319656164E-06  -4.8491750089639589E+07
       73         7300.0000   1.8642024319656164E-06  -5.0111188793290444E+07
       74         7400.0000   1.8642024319656160E-06  -5.1716639847806349E+07
       75         7500.0000   1.8642024319656160E-06  -5.3310560683619313E+07
       76         7600.0000   1.8642024319656164E-06  -5.4896528729774505E+07
       77         7700.0000   1.8642024319656162E-06  -5.6479259455479220E+07
       78         7800.0000   1.8642024319656168E-06  -5.8064588348176233E+07
       79         7900.0000   1.8642024319656162E-06  -5.9659395271456830E+07
       80         8000.0000   1.8642024319656162E-06  -6.1271439371513255E+07
       81         8100.0000   1.8642024319656162E-06  -6.3457530354206428E+07
       82         8200.0000   1.8642024319656168E-06  -6.5702404606097542E+07
       83         8300.0000   1.8642024319656164E-06  -6.8023207482249528E+07
       84         8400.0000   1.8642024319656170E-06  -7.0429687191145808E+07
       85         8500.0000   1.8642024319656162E-06  -7.2919889244250268E+07
       86         8600.0000   1.8642024319656168E-06  -7.5476269060327604E+07
       87         8700.0000   1.8642024319656172E-06  -7.8064215679888323E+07
       88         8800.0000   1.8642024319656170E-06  -8.0634632354060844E+07
       89         8900.0000   1.8642024319656164E-06  -8.3130763663104177E+07
       90         9000.0000   1.8642024319656172E-06  -8.5497437394638076E+07
       91         9100.0000   1.8642024319656172E-06  -8.7689644535895079E+07
       92         9200.0000   1.8642024319656170E-06  -8.9677835986914665E+07
       93         9300.0000   1.8642024319656168E-06  -9.1449046215023577E+07
       94         9400.0000   1.8642024319656172E-06  -9.3004679018513501E+07
       95         9500.0000   1.8642024319656172E-06  -9.4356588284482956E+07
       96         9600.0000   1.8642024319656175E-06  -9.5522938724278703E+07
       97         9700.0000   1.8642024319656170E-06  -9.6524738793298468E+07
       98         9800.0000   1.8642024319656170E-06  -9.7383360691702172E+07
       99         9900.0000   1.8642024319656170E-06  -9.8118997477554649E+07
      100        10000.0000   1.8642024319656170E-06  -9.8749851488465488E+07
      101        10100.0000   1.8642024319656170E-06  -9.9412743662014499E+07
      102        10200.0000   1.8642024319656172E-06  -9.9962677356014386E+07
      103        10300.0000   1.8642024319656175E-06  -1.0042116303028472E+08
      104        10400.0000   1.8642024319656170E-06  -1.0080492626802126E+08
      105        10500.0000   1.8642024319656172E-06  -1.0112716135690835E+08
      106        10600.0000   1.8642024319656175E-06  -1.0139833955339836E+08
      107        10700.0000   1.8642024319656175E-06  -1.0162682449504414E+08
      108        10800.0000   1.8642024319656177E-06  -1.0181935536767419E+08
      109        10900.0000   1.8642024319656170E-06  -1.0198142269127116E+08
      110        11000.0000   1.8642024319656172E-06  -1.0211755568557747E+08
      111        11100.0000   1.8642024319656168E-06  -1.0223153859139867E+08
      112        11200.0000   1.8642024319656170E-06  -1.0232657146751015E+08
      113        11300.0000   1.8642024319656183E-06  -1.0240538865279344E+08
      114        11400.0000   1.8642024319656172E-06  -1.0247034566202037E+08
      115        11500.0000   1.8642024319656172E-06  -1.0252348304016721E+08
      116        11600.0000   1.8642024319656170E-06  -1.0256657375201112E+08
      117        11700.0000   1.8642024319656172E-06  -1.0260115905826885E+08
      118        11800.0000   1.8642024319656164E-06  -1.0262857651091225E+08
      119        11900.0000   1.8642024319656175E-06  -1.0264998265571684E+08
      120        12000.0000   1.8642024319656170E-06  -1.0266637222187786E+08
      121        12100.0000   1.8642024319656170E-06  -1.0268086098999119E+08
      122        12200.0000   1.8642024319656164E-06  -1.0269041223983075E+08
      123        12300.0000   1.8642024319656168E-06  -1.0269608839785901E+08
      124        12400.0000   1.8642024319656177E-06  -1.0269870400067678E+08
      125        12500.0000   1.8642024319656170E-06  -1.0269888667843507E+08
      126        12600.0000   1.8642024319656172E-06  -1.0269711031521730E+08
      127        12700.0000   1.8642024319656170E-06  -1.0269372062710986E+08
      128        12800.0000   1.8642024319656175E-06  -1.0268895626611336E+08
      129        12900.0000   1.8642024319656170E-06  -1.0268296622123107E+08
      130        13000.0000   1.8642024319656170E-06  -1.0267582378125142E+08
      131        13100.0000   1.8642024319656170E-06  -1.0266753723290031E+08
      132        13200.0000   1.8642024319656164E-06  -1.0265805745640796E+08
      133        13300.0000   1.8642024319656172E-06  -1.0264728256530075E+08
      134        13400.0000   1.8642024319656170E-06  -1.0263505969868571E+08
      135        13500.0000   1.8642024319656170E-06  -1.0262118400836284E+08
      136        13600.0000   1.8642024319656170E-06  -1.0260539478903064E+08
      137        13700.0000   1.8642024319656170E-06  -1.0258736857645379E+08
      138        13800.0000   1.8642024319656168E-06  -1.0256670888247266E+08
      139        13900.0000   1.8642024319656168E-06  -1.0254293204069847E+08
      140        14000.0000   1.8642024319656170E-06  -1.0251544839193650E+08
      141        14100.0000   1.8642024319656175E-06  -1.0247806105066589E+08
      142        14200.0000   1.8642024319656172E-06  -1.0243272344989507E+08
      143        14300.0000   1.8642024319656170E-06  -1.0237770436102852E+08
      144        14400.0000   1.8642024319656170E-06  -1.0231062703410324E+08
      145        14500.0000   1.8642024319656175E-06  -1.0222836728213800E+08
      146        14600.0000   1.8642024319656168E-06  -1.0212682954345205E+08
      147        14700.0000   1.8642024319656170E-06  -1.0200062277139862E+08
      148        14800.0000   1.8642024319656175E-06  -1.0184260628469965E+08
      149        14900.0000   1.8642024319656172E-06  -1.0164325407805578E+08
      150        15000.0000   1.8642024319656175E-06  -1.0138975912572290E+08
      151        15100.0000   1.8642024319656175E-06  -1.0106475973571002E+08
      152        15200.0000   1.8642024319656168E-06  -1.0064450971578303E+08
      153        15300.0000   1.8642024319656170E-06  -1.0009622113600676E+08
      154        15400.0000   1.8642024319656172E-06  -9.9374166553349376E+07
      155        15500.0000   1.8642024319656172E-06  -9.8413919835924417E+07
      156        15600.0000   1.8642024319656170E-06  -9.7123845685640320E+07
      157        15700.0000   1.8642024319656170E-06  -9.5372729156920359E+07
      158        15800.0000   1.8642024319656172E-06  -9.2972778507520452E+07
      159        15900.0000   1.8642024319656172E-06  -8.9659943026780471E+07
      160        16000.0000   1.8642024319656172E-06  -8.5083952066057861E+07
      161        16100.0000   1.8642024319656172E-06  -7.7748384777049989E+07
      162        16200.0000   1.8642024319656168E-06  -6.7891452970964879E+07
      163        16300.0000   1.8642024319656172E-06  -5.6392230646237232E+07
      164        16400.0000   1.8642024319656170E-06  -4.5623057513683029E+07
      165        16500.0000   1.8642024319656170E-06  -3.7427516730424784E+07
      166        16600.0000   1.8642024319656170E-06  -3.1472344934573095E+07
      167        16700.0000   1.8642024319656172E-06  -2.6476961495983474E+07
      168        16800.0000   1.8642024319656172E-06  -2.1478775921506498E+07
      169        16900.0000   1.8642024319656177E-06  -1.5997178170594482E+07
      170        17000.0000   1.8642024319656172E-06  -9.8863239549815319E+06
      171        17100.0000   1.8642024319656172E-06  -3.2447958842555094E+06
      172        17200.0000   1.8642024319656177E-06   3.6262808432338145E+06
      173        17300.0000   1.8642024319656172E-06   1.0287539917524574E+07
      174        17400.0000   1.8642024319656175E-06   1.6280477105584996E+07
      175        17500.0000   1.8642024319656170E-06   2.1266182325598814E+07
      176        17600.0000   1.8642024319656172E-06   2.5110478913192943E+07
      177        17700.0000   1.8642024319656177E-06   2.7875743023759216E+07
      178        17800.0000   1.8642024319656175E-06   2.9746439689296640E+07
      179        17900.0000   1.8642024319656170E-06   3.0945767022313580E+07
      180        18000.0000   1.8642024319656170E-06   3.1678358419170618E+07
