 # time (fs)    drift velocity (cm/s)    drift acceleration (cm/s2)
        1560.0000  -8.2834719608069807E+06  -1.9715818167313932E+03
        1570.0000  -8.3029445071701100E+06  -1.9472546363129281E+03
        1580.0000  -8.3221761221654201E+06  -1.9231614995310083E+03
        1590.0000  -8.3411691254011188E+06  -1.8993003235698677E+03
        1600.0000  -8.3599258158765752E+06  -1.8756690475456417E+03
        1610.0000  -8.3784484721992807E+06  -1.8522656322705559E+03
        1620.0000  -8.3967393527993299E+06  -1.8290880600049161E+03
        1630.0000  -8.4148006961416062E+06  -1.8061343342276291E+03
        1640.0000  -8.4326347209353875E+06  -1.7834024793781341E+03
        1650.0000  -8.4502436263416223E+06  -1.7608905406234785E+03
        1660.0000  -8.4676295921779443E+06  -1.7385965836321934E+03
        1670.0000  -8.4847947791211773E+06  -1.7165186943233014E+03
        1680.0000  -8.5017413289075699E+06  -1.6946549786392600E+03
        1690.0000  -8.5184713645307701E+06  -1.6730035623200238E+03
        1700.0000  -8.5349869904374015E+06  -1.6515625906631351E+03
        1710.0000  -8.5512902927204836E+06  -1.6303302283082157E+03
        1720.0000  -8.5673833393104337E+06  -1.6093046589950100E+03
        1730.0000  -8.5832681801639535E+06  -1.5884840853519738E+03
        1740.0000  -8.5989468474506009E+06  -1.5678667286647483E+03
        1750.0000  -8.6144213557373490E+06  -1.5474508286748082E+03
        1760.0000  -8.6296937021705508E+06  -1.5272346433201806E+03
        1770.0000  -8.6447658666561823E+06  -1.5072164485631511E+03
        1780.0000  -8.6596398120375276E+06  -1.4873945381345227E+03
        1790.0000  -8.6743174842710756E+06  -1.4677672233548014E+03
        1800.0000  -8.6888008126000129E+06  -1.4483328328937291E+03
        1810.0000  -8.7030917097257692E+06  -1.4290897125756369E+03
        1820.0000  -8.7171920719773192E+06  -1.4100362251549959E+03
        1830.0000  -8.7311037794785909E+06  -1.3911707501271740E+03
        1840.0000  -8.7448286963136345E+06  -1.3724916835043580E+03
        1850.0000  -8.7583686706898808E+06  -1.3539974376246332E+03
        1860.0000  -8.7717255350992251E+06  -1.3356864409344271E+03
        1870.0000  -8.7849011064773165E+06  -1.3175571378091349E+03
        1880.0000  -8.7978971863604896E+06  -1.2996079883173109E+03
        1890.0000  -8.8107155610411167E+06  -1.2818374680627137E+03
        1900.0000  -8.8233580017207041E+06  -1.2642440679587423E+03
        1910.0000  -8.8358262646610793E+06  -1.2468262940375134E+03
        1920.0000  -8.8481220913338102E+06  -1.2295826672730968E+03
        1930.0000  -8.8602472085674312E+06  -1.2125117233620956E+03
        1940.0000  -8.8722033286929931E+06  -1.1956120125561952E+03
        1950.0000  -8.8839921496875491E+06  -1.1788820994555949E+03
        1960.0000  -8.8956153553158268E+06  -1.1623205628277733E+03
        1970.0000  -8.9070746152701061E+06  -1.1459259954279289E+03
        1980.0000  -8.9183715853080470E+06  -1.1296970037940889E+03
        1990.0000  -8.9295079073889870E+06  -1.1136322080940008E+03
        2000.0000  -8.9404852098080050E+06  -1.0977302419018001E+03
        2010.0000  -8.9513051073285602E+06  -1.0819897520555182E+03
        2020.0000  -8.9619692013131380E+06  -1.0664093984577805E+03
        2030.0000  -8.9724790798522085E+06  -1.0509878539070487E+03
        2040.0000  -8.9828363178912420E+06  -1.0357238039033487E+03
        2050.0000  -8.9930424773562178E+06  -1.0206159464975819E+03
        2060.0000  -9.0030991072772499E+06  -1.0056629921032115E+03
        2070.0000  -9.0130077439105138E+06  -9.9086366332639011E+02
        2080.0000  -9.0227699108584970E+06  -9.7621669479832053E+02
        2090.0000  -9.0323871191885341E+06  -9.6172083300370718E+02
        2100.0000  -9.0418608675496727E+06  -9.4737483611386267E+02
        2110.0000  -9.0511926422879174E+06  -9.3317747382447124E+02
        2120.0000  -9.0603839175596442E+06  -9.1912752717267722E+02
        2130.0000  -9.0694361554437820E+06  -9.0522378841377792E+02
        2140.0000  -9.0783508060518596E+06  -8.9146506080776453E+02
        2150.0000  -9.0871293076369688E+06  -8.7785015851091589E+02
        2160.0000  -9.0957730867006555E+06  -8.6437790636867283E+02
